CASEID,SEX,EDUC,AGE,NATEDUC,NATFARE,NATROAD,NATMASS,NATHEAL,NATENVIR
58092,2,0,34,0,0,3,2,0,0
57306,1,2,58,0,0,2,2,0,0
57280,2,2,68,0,0,1,1,0,0
57772,2,2,64,0,0,2,2,0,0
57844,1,3,35,0,0,3,2,0,0
58672,1,3,74,0,0,1,2,0,0
59513,1,4,81,0,0,1,2,0,0
59081,2,4,52,0,0,3,8,0,0
57265,2,5,34,0,0,3,2,0,0
57301,2,5,46,0,0,3,2,0,0
58028,2,5,27,0,0,1,2,0,0
58152,2,5,76,0,0,1,8,0,0
58309,2,5,35,0,0,1,8,0,0
57220,1,6,51,0,0,3,3,0,0
57270,1,6,35,0,0,1,8,0,0
57784,1,6,37,0,0,2,2,0,0
57273,2,6,54,0,0,2,2,0,0
57947,2,6,71,0,0,1,2,0,0
58282,2,6,70,0,0,2,2,0,0
59087,2,6,70,0,0,2,2,0,0
57533,1,7,75,0,0,1,1,0,0
57946,1,7,68,0,0,2,2,0,0
59066,1,7,80,0,0,1,8,0,0
59544,1,7,45,0,0,3,2,0,0
58391,2,7,60,0,0,2,2,0,0
57074,1,8,69,0,0,2,3,0,0
57407,1,8,47,0,0,1,1,0,0
57524,1,8,19,0,0,3,8,0,0
57871,1,8,54,0,0,1,1,0,0
58656,1,8,28,0,0,3,3,0,0
58730,1,8,87,0,0,1,1,0,0
59078,1,8,43,0,0,1,8,0,0
59379,1,8,75,0,0,2,2,0,0
57081,2,8,39,0,0,2,2,0,0
57369,2,8,78,0,0,3,3,0,0
57705,2,8,48,0,0,3,8,0,0
57782,2,8,59,0,0,1,1,0,0
57821,2,8,72,0,0,3,1,0,0
57949,2,8,71,0,0,2,1,0,0
57975,2,8,44,0,0,2,2,0,0
57987,2,8,54,0,0,1,2,0,0
58366,2,8,89,0,0,2,2,0,0
58527,2,8,59,0,0,1,2,0,0
58673,2,8,65,0,0,1,3,0,0
58677,2,8,84,0,0,1,1,0,0
58779,2,8,60,0,0,2,8,0,0
59045,2,8,67,0,0,2,2,0,0
59112,2,8,19,0,0,3,2,0,0
59391,2,8,59,0,0,1,8,0,0
59508,2,8,62,0,0,1,2,0,0
57490,1,9,42,0,0,2,2,0,0
57529,1,9,38,0,0,3,1,0,0
57530,1,9,75,0,0,1,1,0,0
57570,1,9,36,0,0,2,2,0,0
57581,1,9,31,0,0,2,2,0,0
57815,1,9,79,0,0,1,1,0,0
58448,1,9,52,0,0,1,2,0,0
58476,1,9,46,0,0,2,8,0,0
58837,1,9,81,0,0,1,2,0,0
58883,1,9,42,0,0,2,2,0,0
59082,1,9,22,0,0,2,2,0,0
59143,1,9,32,0,0,1,2,0,0
59286,1,9,26,0,0,3,1,0,0
59313,1,9,58,0,0,1,2,0,0
59531,1,9,34,0,0,2,2,0,0
57147,2,9,30,0,0,2,8,0,0
