CASEID,YEAR,ID,AGE,SEX,RACECEN1,HISPANIC,EDUC,MARHOMO
59600,2016,1,47,1,1,1,16,1
59601,2016,2,61,1,1,1,12,0
59602,2016,3,72,1,1,1,16,4
59603,2016,4,43,2,1,1,12,2
59604,2016,5,55,2,1,1,18,2
59605,2016,6,53,2,1,1,14,0
59606,2016,7,50,1,1,1,14,2
59607,2016,8,23,2,16,2,11,2
59608,2016,9,45,1,2,1,12,4
59609,2016,10,71,1,1,1,14,2
59610,2016,11,33,2,2,1,12,0
59611,2016,12,86,2,1,1,12,8
59612,2016,13,32,1,2,1,12,0
59613,2016,14,60,2,2,1,98,3
59614,2016,15,76,1,1,1,10,0
59615,2016,16,33,2,1,1,13,1
59616,2016,17,56,1,1,3,13,5
59617,2016,18,62,2,16,3,10,0
59618,2016,19,31,1,2,1,18,0
59619,2016,20,43,1,2,1,13,2
59620,2016,21,58,2,1,1,12,0
59621,2016,22,32,2,2,1,11,3
59622,2016,23,23,2,16,5,10,0
59623,2016,24,37,2,1,1,12,1
59624,2016,25,25,2,1,11,15,2
59625,2016,26,76,2,1,3,3,0
59626,2016,27,71,1,1,1,19,1
59627,2016,28,22,1,2,1,14,0
59628,2016,29,74,1,1,1,18,0
59629,2016,30,75,2,1,1,12,4
59630,2016,31,32,1,1,1,12,0
59631,2016,32,68,2,1,1,12,2
59632,2016,33,55,1,1,1,12,2
59633,2016,34,46,1,2,1,14,4
59634,2016,35,58,2,1,1,12,2
59635,2016,36,35,1,1,1,12,0
59636,2016,37,59,1,1,1,16,0
59637,2016,38,43,2,1,1,16,1
59638,2016,39,58,2,1,1,16,2
59639,2016,40,79,2,1,1,14,0
59640,2016,41,40,2,1,1,12,1
59641,2016,42,44,2,16,15,12,2
59642,2016,43,68,2,5,1,16,0
59643,2016,44,36,2,1,1,20,1
59644,2016,45,70,1,1,1,17,0
59645,2016,46,28,1,1,1,15,1
59646,2016,47,35,2,2,1,16,0
59647,2016,48,33,1,15,1,16,2
59648,2016,49,23,1,1,1,17,1
59649,2016,50,47,2,1,1,16,0
59650,2016,51,25,2,5,1,16,0
59651,2016,52,70,2,1,1,12,1
59652,2016,53,20,1,1,1,13,0
59653,2016,54,41,1,1,1,19,1
59654,2016,55,53,2,1,1,16,2
59655,2016,56,42,2,1,30,16,0
59656,2016,57,40,2,1,1,17,0
59657,2016,58,57,2,1,1,17,0
59658,2016,59,59,2,1,1,20,1
59659,2016,60,35,2,1,3,10,2
59660,2016,61,26,1,2,1,13,2
59661,2016,62,35,1,2,1,12,0
59662,2016,63,51,2,2,1,12,3
59663,2016,64,39,2,2,1,13,0
59664,2016,65,27,2,16,11,11,5
59665,2016,66,30,1,16,3,10,2
59666,2016,67,29,1,16,3,12,0
59667,2016,68,39,2,2,1,10,1
59668,2016,69,60,2,2,1,11,4
59669,2016,70,74,2,16,3,6,2
59670,2016,71,74,2,2,1,10,3
59671,2016,72,57,2,2,1,14,1
59672,2016,73,80,1,2,1,11,0
59673,2016,74,70,1,2,7,12,0
59674,2016,75,35,2,2,1,18,1
59675,2016,76,49,2,2,1,10,0
59676,2016,77,36,2,1,1,20,1
59677,2016,78,37,2,2,1,18,1
59678,2016,79,78,2,1,1,19,1
59679,2016,80,41,1,2,1,12,2
59680,2016,81,42,1,5,1,14,2
59681,2016,82,35,2,1,1,14,1
59682,2016,83,33,1,1,1,16,1
59683,2016,84,44,1,1,1,12,2
59684,2016,85,41,1,1,1,16,4
59685,2016,86,52,1,1,1,12,1
59686,2016,87,45,2,1,1,16,0
59687,2016,88,41,2,16,15,13,5
59688,2016,89,41,2,1,15,12,1
59689,2016,90,68,1,1,1,12,1
59690,2016,91,57,2,2,1,12,0
59691,2016,92,72,1,2,1,20,3
59692,2016,93,68,1,1,1,19,2
59693,2016,94,50,1,1,1,16,1
59694,2016,95,40,1,1,1,17,1
59695,2016,96,58,1,1,1,15,0
59696,2016,97,43,1,1,2,16,0
59697,2016,98,25,1,2,1,16,0
59698,2016,99,33,1,5,1,20,2
59699,2016,100,27,1,1,1,16,2
59700,2016,101,58,2,2,1,16,4
59701,2016,102,66,2,1,1,12,0
59702,2016,103,66,1,1,1,12,2
59703,2016,104,89,2,1,1,12,3
59704,2016,105,29,2,16,3,14,2
59705,2016,106,89,2,1,1,8,5
59706,2016,107,78,2,1,1,12,2
59707,2016,108,52,2,1,3,12,1
59708,2016,109,50,1,1,1,11,2
59709,2016,110,25,2,1,1,16,5
59710,2016,111,37,1,1,1,16,1
59711,2016,112,54,2,1,1,16,1
